Numero,Local,TotalCasos,NovosCasos,TotalMortes,NovasMortes,TotalRecuperados,Casos Ativos,CasosSerios,TotalCasos/1M,TotalMortes/1M,TotalTestes,Testes/1M,Populacao,Continente,Casos/10,Mortes/10,Teste/10,Novos/1M,Mortes/1M,Ativos/1M
,World,"318,077,163","+653,739","5,533,584","+2,773","263,185,170","49,358,409","95,895","40,806",709.9,,,,All,,,,,,
1,USA,"64,359,409",,"866,891",,"42,805,090","20,687,428","24,824","192,709","2,596","849,094,742","2,542,414","333,971,837",North America,5,385,0,,,"61,944"
2,India,"36,317,927",,"485,035",,"34,715,361","1,117,531","8,944","25,927",346,"697,311,627","497,812","1,400,754,116",Asia,39,"2,888",2,,,798
3,Brazil,"22,718,606",,"620,419",,"21,626,836","471,351","8,318","105,732","2,887","63,776,166","296,812","214,870,619",South America,9,346,3,,,"2,194"
4,UK,"14,862,138",,"151,007",,"11,037,780","3,673,351",793,"217,183","2,207","427,003,891","6,239,870","68,431,539",Europe,5,453,0,,,"53,679"
5,France,"12,934,982",,"126,305",,"8,857,455","3,951,222","3,985","197,497","1,928","207,533,089","3,168,710","65,494,496",Europe,5,519,0,,,"60,329"
6,Russia,"10,723,305","+21,155","319,172",+740,"9,784,348","619,785","2,300","73,432","2,186","244,900,000","1,677,050","146,030,209",Europe,14,458,1,145,5,"4,244"
7,Turkey,"10,195,676",,"84,125",,"9,436,662","674,889","1,128","118,932",981,"123,478,411","1,440,369","85,726,910",Asia,8,"1,019",1,,,"7,873"
8,Italy,"7,971,068",,"139,872",,"5,609,136","2,222,060","1,669","132,134","2,319","151,338,033","2,508,679","60,325,784",Europe,8,431,0,,,"36,834"
9,Spain,"7,771,367",,"90,508",,"5,216,408","2,464,451","2,228","166,117","1,935","66,213,858","1,415,356","46,782,487",Europe,6,517,1,,,"52,679"
10,Germany,"7,750,406","+38,411","115,681",+76,"6,878,100","756,625","3,212","92,054","1,374","89,622,218","1,064,475","84,193,812",Europe,11,728,1,456,0.9,"8,987"
11,Argentina,"6,664,717",,"117,670",,"5,700,467","846,580","2,206","145,422","2,568","29,858,244","651,499","45,830,067",South America,7,389,2,,,"18,472"
12,Iran,"6,214,781","+2,394","132,002",+30,"6,058,586","24,193","1,462","72,571","1,541","42,908,102","501,048","85,636,749",Asia,14,649,2,28,0.4,283
13,Colombia,"5,410,698",,"130,529",,"5,101,151","179,018",342,"104,631","2,524","30,718,358","594,024","51,712,275",South America,10,396,2,,,"3,462"
